cycleId,launchOrder,pipelineLaneId,mode,graceSku,websiteSku,family,productGroupSlug,productGroupDisplayName,applicator,capacityMl,color,bestReferenceCandidatePath,absoluteReferencePath,expectedCanonicalFilename
cycle-04,4,grid-card-2000x2200,cap-on,GB-SLM-CLR-50ML-SPR-SBLK,GBSlm50SpryShnBlk,Slim,slim-50ml-clear-18-415-perfumespray,50 ml Clear Slim Bottle,Perfume Spray Pump,50,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-perfume-spray-pump/cap-on/GB-SLM-CLR-50ML-SPR-SBLK.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-perfume-spray-pump/cap-on/GB-SLM-CLR-50ML-SPR-SBLK.png,GB-SLM-CLR-50ML-SPR-SBLK__GBSlm50SpryShnBlk__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,LB-RND-CLR-78ML-LPM-MSLV,LBRnd78LtnMtSl,Round,round-78ml-clear-18-415-lotionpump,78 ml Clear Round Lotion Pump Bottle,Lotion Pump,78,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/round/round-78ml-lotion-pump/cap-on/LB-RND-CLR-78ML-LPM-MSLV.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/round/round-78ml-lotion-pump/cap-on/LB-RND-CLR-78ML-LPM-MSLV.png,LB-RND-CLR-78ML-LPM-MSLV__LBRnd78LtnMtSl__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-CYL-BLU-5ML-ROL-SBLK,GBCylBlu5RollBlkSh,Cylinder,cylinder-5ml-cobalt-blue-13-415-rollon,5 ml Cobalt Blue Cylinder Roll-On Bottle,Plastic Roller Ball,5,Cobalt Blue,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cylinder/cylinder-5ml-plastic-roller-ball/cap-on/GB-CYL-BLU-5ML-ROL-SBLK.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cylinder/cylinder-5ml-plastic-roller-ball/cap-on/GB-CYL-BLU-5ML-ROL-SBLK.png,GB-CYL-BLU-5ML-ROL-SBLK__GBCylBlu5RollBlkSh__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-DVA-CLR-46ML-SPR-SGLD,GBDiva46SpryShnGl,Diva,diva-46ml-clear-18-415-perfumespray,46 ml Clear Diva Bottle,Perfume Spray Pump,46,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/diva/diva-46ml-perfume-spray-pump/cap-on/GB-DVA-CLR-46ML-SPR-SGLD.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/diva/diva-46ml-perfume-spray-pump/cap-on/GB-DVA-CLR-46ML-SPR-SGLD.png,GB-DVA-CLR-46ML-SPR-SGLD__GBDiva46SpryShnGl__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-ELG-CLR-60ML-AST-IVGD,GBElg60AnSpTslIvyGl,Elegant,elegant-60ml-clear-18-415-antiquespray-tassel,60 ml Clear Elegant Vintage Bulb Spray Bottle with Tassel,Vintage Bulb Sprayer with Tassel,60,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/elegant/elegant-60ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-ELG-CLR-60ML-AST-IVGD.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/elegant/elegant-60ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-ELG-CLR-60ML-AST-IVGD.png,GB-ELG-CLR-60ML-AST-IVGD__GBElg60AnSpTslIvyGl__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-SLK-CLR-50ML-SPR-SBLK,GBSlk50SpryShnBlk,Sleek,sleek-50ml-clear-18-415-perfumespray,50 ml Clear Sleek Bottle,Perfume Spray Pump,50,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-perfume-spray-pump/cap-on/GB-SLK-CLR-50ML-SPR-SBLK.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-perfume-spray-pump/cap-on/GB-SLK-CLR-50ML-SPR-SBLK.png,GB-SLK-CLR-50ML-SPR-SBLK__GBSlk50SpryShnBlk__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-CIR-CLR-50ML-AST-WHT,GBCrcl50AnSpTslWht,Circle,circle-50ml-clear-18-415-antiquespray-tassel,50 ml Clear Circle Vintage Bulb Spray Bottle with Tassel,Vintage Bulb Sprayer with Tassel,50,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/circle/circle-50ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-CIR-CLR-50ML-AST-WHT.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/circle/circle-50ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-CIR-CLR-50ML-AST-WHT.png,GB-CIR-CLR-50ML-AST-WHT__GBCrcl50AnSpTslWht__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-SLM-CLR-50ML-RDC-BKLT,GBSlm50RdcrBlkLthr,Slim,slim-50ml-clear-18-415-reducer,50 ml Clear Slim Reducer Bottle,Reducer,50,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-reducer/cap-on/GB-SLM-CLR-50ML-RDC-BKLT.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-reducer/cap-on/GB-SLM-CLR-50ML-RDC-BKLT.png,GB-SLM-CLR-50ML-RDC-BKLT__GBSlm50RdcrBlkLthr__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-RND-CLR-78ML-SPR-CPR,GBRnd78SpryCu,Round,round-78ml-clear-18-415-perfumespray,78 ml Clear Round Bottle,Perfume Spray Pump,78,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/round/round-78ml-perfume-spray-pump/cap-on/GB-RND-CLR-78ML-SPR-CPR.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/round/round-78ml-perfume-spray-pump/cap-on/GB-RND-CLR-78ML-SPR-CPR.png,GB-RND-CLR-78ML-SPR-CPR__GBRnd78SpryCu__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-CYL-CBL-5ML-S-01,GBCylBlu5BlkSht,Cylinder,cylinder-5ml-cobalt-blue-13-415,5 ml Cobalt Blue Cylinder Bottle with Cap,Cap/Closure,5,Cobalt Blue,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cylinder/cylinder-5ml-unknown-applicator/cap-on/GB-CYL-CBL-5ML-S-01.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cylinder/cylinder-5ml-unknown-applicator/cap-on/GB-CYL-CBL-5ML-S-01.png,GB-CYL-CBL-5ML-S-01__GBCylBlu5BlkSht__pdp-main__v001.png
